 work_0, idle_0, heavy_0, work_1, idle_1, heavy_1, work_2, idle_2, heavy_2, work_3, idle_3, heavy_3,chunk_time, totalidle, total_heavy
0.0421392, 0.00041989982, 1334,0.0065275, 0.036031596, 0,0.0064408, 0.0361183, 0,0.0064319, 0.0361272, 0,0.0425591, 0.108697, 1334
0.0422164, 0.000395298, 1334,0.00693, 0.0356817, 0,0.0064835, 0.0361282, 0,0.006495, 0.0361167, 0,0.0426117, 0.108321905, 1334
0.0423399, 0.0003775023, 1334,0.0066842, 0.036033202, 0,0.0063449, 0.0363725, 0,0.0066722, 0.0360452, 0,0.0427174, 0.1088284, 1334
0.0420474, 0.00037780032, 1334,0.0066929, 0.0357323, 0,0.0065404, 0.0358848, 0,0.0064864, 0.0359388, 0,0.0424252, 0.1079337, 1334
0.0431958, 0.00037059933, 1334,0.0065984, 0.036968, 0,0.0072708, 0.0362956, 0,0.0068217, 0.0367447, 0,0.0435664, 0.1103789, 1334
0.0431214, 0.00042879954, 1334,0.0070408, 0.036509402, 0,0.0065169, 0.0370333, 0,0.006656, 0.036894202, 0,0.0435502, 0.110865705, 1334
0.0430585, 0.00035060197, 1334,0.0068261, 0.036583003, 0,0.0066684, 0.0367407, 0,0.0067252, 0.036683902, 0,0.0434091, 0.11035821, 1334
0.0422629, 0.00037619844, 1334,0.0069588, 0.035680298, 0,0.0065237, 0.0361154, 0,0.006532, 0.0361071, 0,0.0426391, 0.108279, 1334
0.0428897, 0.00048319995, 1334,0.0066256, 0.0367473, 0,0.0066091, 0.0367638, 0,0.0065427, 0.036830198, 0,0.0433729, 0.110824496, 1334
0.042501, 0.00048940256, 1334,0.0064179, 0.0365725, 0,0.0063308, 0.036659602, 0,0.006351, 0.0366394, 0,0.0429904, 0.110360906, 1334
0.0426731, 0.00046189874, 1334,0.006414, 0.036721, 0,0.0068719, 0.036263097, 0,0.0065313, 0.036603697, 0,0.043135, 0.11004969, 1334
